Id;LotArea;OverallQual;YearBuilt;BsmtFinSF1;TotalBsmtSF;1stFlrSF;GrLivArea;FullBath;GarageCars;GarageArea;SalePrice
65;9375;7;1997;739;1057;1057;2034;2;2;645;219500
66;9591;8;2004;0;1143;1143;2473;2;3;852;317000
67;19900;7;1970;912;1947;2207;2207;2;2;576;180000
68;10665;7;2003;1013;1453;1479;1479;2;2;558;226000
69;4608;4;1945;0;747;747;747;1;1;220;80000
70;15593;7;1953;603;1304;1304;2287;2;2;667;225000
71;13651;7;1973;1880;2223;2223;2223;2;2;516;244000
72;7599;4;1982;565;845;845;845;1;2;360;129500
73;10141;7;1998;0;832;885;1718;2;2;427;185000
74;10200;5;1954;320;1086;1086;1086;1;2;490;144900
75;5790;3;1915;0;840;840;1605;2;1;379;107400
76;1596;4;1973;462;462;526;988;1;1;297;91000
77;8475;4;1956;228;952;952;952;1;1;283;135750
78;8635;5;1948;336;672;1072;1285;1;1;240;127000
79;10778;4;1968;0;1768;1768;1768;2;0;0;136500
80;10440;5;1910;0;440;682;1230;1;2;440;110000
81;13000;6;1968;448;896;1182;2142;2;1;509;193500
82;4500;6;1998;1201;1237;1337;1337;2;2;405;153500
83;10206;8;2007;33;1563;1563;1563;2;3;758;245000
84;8892;5;1960;0;1065;1065;1065;1;2;461;126500
85;8530;7;1995;0;384;804;1474;2;2;400;168500
86;16059;8;1991;0;1288;1301;2417;2;2;462;260000
87;11911;6;2005;0;684;684;1560;2;2;400;174000
88;3951;6;2009;0;612;612;1224;2;2;528;164500
89;8470;3;1915;0;1013;1013;1526;1;0;0;85000
90;8070;4;1994;588;990;990;990;1;0;0;123600
91;7200;4;1950;0;0;1040;1040;1;2;420;109900
92;8500;5;1961;600;1235;1235;1235;1;2;480;98600
93;13360;5;1921;713;876;964;964;1;2;432;163500
94;7200;6;1910;1046;1214;1260;2291;2;2;506;133900
95;9337;6;1997;648;824;905;1786;2;2;684;204750
96;9765;6;1993;310;680;680;1470;2;2;420;185000
97;10264;7;1999;1162;1588;1588;1588;2;2;472;214000
98;10921;4;1965;520;960;960;960;1;1;432;94750
99;10625;5;1920;108;458;835;835;1;1;366;83000
100;9320;4;1959;569;950;1225;1225;1;0;0;128950
101;10603;6;1977;1200;1610;1610;1610;2;2;480;205000
102;9206;6;1985;0;741;977;1732;2;2;476;178000
103;7018;5;1979;0;0;1535;1535;2;2;410;118964
104;10402;7;2009;0;1226;1226;1226;2;3;740;198900
105;7758;7;1931;224;1040;1226;1818;1;1;240;169500
106;9375;8;2003;0;1053;1053;1992;2;2;648;250000
107;10800;4;1885;0;641;1047;1047;1;1;273;100000
108;6000;5;1948;104;789;789;789;1;1;250;115000
109;8500;5;1919;0;793;997;1517;2;0;0;115000
110;11751;6;1977;705;1844;1844;1844;2;2;546;190000
111;9525;6;1954;444;994;1216;1855;2;1;325;136900
112;7750;7;2000;250;384;774;1430;2;2;400;180000
113;9965;7;2007;984;1264;1282;2696;2;3;792;383970
114;21000;6;1953;35;1809;2259;2259;2;2;450;217000
115;7259;6;1945;774;1028;1436;2320;2;1;180;259500
116;3230;6;1999;419;729;729;1458;2;2;440;176000
117;11616;5;1962;170;1092;1092;1092;1;1;288;139000
118;8536;5;2006;0;1125;1125;1125;1;2;430;155000
119;12376;7;1990;1470;1673;1699;3222;3;3;594;320000
120;8461;6;2005;0;728;728;1456;2;2;390;163990
121;21453;6;1969;938;938;988;988;1;2;540;180000
122;6060;4;1939;0;732;772;1123;1;1;264;100000
123;9464;6;1958;570;1080;1080;1080;1;1;288;136000
124;7892;6;1993;300;1199;1199;1199;2;2;530;153900
125;17043;6;1979;0;1362;1586;1586;2;2;435;181000
126;6780;6;1935;490;520;520;754;1;0;0;84500
127;4928;6;1976;120;1078;958;958;2;2;440;128000
128;4388;5;1930;116;672;840;840;1;0;0;87000
129;7590;6;1966;512;660;660;1348;1;2;453;155000
130;8973;5;1958;567;1008;1053;1053;1;2;750;150000
131;14200;7;1966;445;924;1216;2157;2;2;487;226000
132;12224;6;2000;695;992;1022;2054;2;2;390;244000
133;7388;5;1959;405;1063;1327;1327;1;2;624;150750
134;6853;8;2001;1005;1267;1296;1296;2;2;471;220000
135;10335;5;1968;570;1461;1721;1721;2;2;440;180000
136;10400;7;1970;0;1304;1682;1682;2;2;530;174000
137;10355;5;1967;695;1214;1214;1214;2;1;318;143000
138;11070;7;1988;0;1907;1959;1959;3;3;766;171000
139;9066;8;1999;668;1004;1004;1852;2;3;660;230000
140;15426;6;1997;821;928;928;1764;2;2;470;231500
141;10500;4;1971;432;864;864;864;1;0;0;115000
142;11645;7;2005;1300;1734;1734;1734;2;2;660;260000
143;8520;5;1952;507;910;910;1385;2;2;720;166000
144;10335;7;1999;679;1490;1501;1501;2;2;577;204000
145;9100;5;1963;1332;1728;1728;1728;2;2;504;125000
146;2522;6;2004;0;970;970;1709;2;2;380;130000
147;6120;5;1931;209;715;875;875;1;1;180;105000
148;9505;7;2001;0;884;884;2035;2;2;434;222500
149;7500;7;2004;680;1080;1080;1080;1;0;0;141000
150;6240;5;1936;0;896;896;1344;1;1;240;115000
151;10356;5;1975;716;969;969;969;1;2;440;122000
152;13891;8;2007;1400;1710;1710;1710;2;3;866;372402
153;14803;6;1971;416;825;1097;1993;2;2;495;190000
154;13500;6;1960;429;1602;1252;1252;1;2;564;235000
155;11340;6;1923;0;1200;1200;1200;1;1;312;125000
156;9600;6;1924;0;572;572;1096;1;0;0;79000
157;7200;5;1950;0;0;1040;1040;1;2;625;109500
158;12003;8;2009;0;774;774;1968;2;3;680;269500
159;12552;7;2004;222;991;991;1947;2;2;678;254900
160;19378;7;2005;57;1392;1392;2462;2;2;576;320000
161;11120;6;1984;660;1232;1232;1232;2;2;516;162500
162;13688;9;2003;1016;1572;1572;2668;2;3;726;412500
163;12182;7;2005;1201;1541;1541;1541;2;2;532;220000
164;5500;4;1956;0;882;882;882;1;0;0;103200
165;5400;6;1926;370;1149;1149;1616;2;1;216;152000
166;10106;5;1940;351;644;808;1355;2;0;0;127500
167;10708;5;1955;379;1617;1867;1867;1;1;303;190000
168;10562;8;2007;1288;1582;1610;2161;1;3;789;325624
169;8244;7;2004;0;840;840;1720;2;2;440;183500
170;16669;8;1981;0;1686;1707;1707;2;2;511;228000
171;12358;5;1941;360;720;854;1382;1;2;660;128500
172;31770;6;1960;639;1080;1656;1656;1;2;528;215000
173;5306;7;1987;495;1064;1064;1767;2;2;504;239000
174;10197;6;1961;288;1362;1362;1362;1;2;504;163000
175;12416;6;1986;1398;1606;1651;1651;2;2;616;184000
176;12615;6;1950;477;1202;2158;2158;2;2;576;243000
177;10029;6;1988;831;1151;1164;2060;2;2;521;211000
178;13650;5;1958;57;1052;1252;1920;2;2;451;172500
179;17423;9;2008;1904;2216;2234;2234;2;3;1166;501837
180;8520;5;1923;0;968;968;968;1;2;480;100000
181;2117;6;2000;436;756;769;1525;2;2;440;177000
182;7588;7;1920;352;793;901;1802;1;1;216;200100
183;9060;5;1957;0;0;1340;1340;1;1;252;120000
184;11426;7;2003;0;1362;1362;2082;2;2;484;200000
185;7438;5;1908;0;504;936;1252;1;2;576;127000
186;22950;10;1892;0;1107;1518;3608;2;3;840;475000
187;9947;7;1990;611;1188;1217;1217;2;2;497;173000
188;10410;5;1916;0;660;808;1656;2;1;180;135000
189;7018;5;1979;1086;1086;1224;1224;0;2;528;153337
190;4923;8;2001;1153;1593;1593;1593;1;2;682;286000
191;10570;8;1932;297;853;1549;2727;2;2;440;315000
192;7472;7;1972;626;725;725;1479;1;2;484;184000
193;9017;7;1999;560;1431;1431;1431;2;2;666;192000
194;2522;7;2004;0;970;970;1709;2;2;380;130000
195;7180;5;1972;390;864;864;864;1;1;352;127000
196;2280;6;1976;566;855;855;1456;2;2;440;148500
197;9416;7;2007;1126;1726;1726;1726;2;3;786;311872
198;25419;8;1918;1036;1360;1360;3112;2;2;795;235000
199;5520;6;1912;0;755;929;2229;1;0;0;104000
200;9591;8;2004;1088;1713;1713;1713;2;3;856;274900
201;8546;4;2003;0;1121;1121;1121;2;2;440;140000
202;10125;6;1977;641;1196;1279;1279;2;2;473;171500
203;7000;6;1924;617;617;865;1310;2;1;398;112000
204;4438;6;2004;662;848;848;848;1;2;420;149000
205;3500;5;1947;312;720;720;1284;1;1;240;110000
206;11851;7;1990;0;1424;1442;1442;2;2;500;180500
207;13673;5;1962;0;1140;1696;1696;1;1;349;143900
208;12493;4;1960;419;1100;1100;1100;1;1;312;141000
209;14364;7;1988;1065;1157;1180;2062;2;2;454;277000
210;8250;6;1964;787;1092;1092;1092;1;2;504;145000
211;5604;5;1925;468;864;864;864;1;0;0;98000
212;10420;6;2009;36;1212;1212;1212;2;2;460;186000
213;8640;7;2009;822;900;932;1852;2;2;644;252678
214;13568;5;1995;716;990;990;990;1;2;576;156000
215;10900;6;1977;378;689;689;1392;1;1;299;161750
216;10011;5;1957;360;1070;1236;1236;1;1;447;134450
217;8450;7;2004;946;1436;1436;1436;2;2;484;210000
218;9906;4;1925;0;686;810;1328;1;1;210;107000
219;15660;7;1939;341;798;1137;1954;1;2;431;311500
220;3010;7;2005;16;1248;1248;1248;2;2;438;167240
221;8990;7;2006;0;1498;1498;1498;2;2;675;204900
222;8068;6;2002;0;1010;1010;2267;2;2;390;200000
223;11475;6;1975;550;713;811;1552;2;2;434;179900
224;10500;4;1971;524;864;864;864;1;2;576;97000
225;13472;10;2003;56;2392;2392;2392;2;3;968;386250
226;1680;5;1971;0;630;630;1302;2;1;280;112000
227;9950;7;1995;565;1203;1214;2520;2;3;721;290000
228;1869;6;1970;321;483;483;987;1;1;280;106000
229;8521;5;1967;842;912;912;912;1;1;336;125000
230;3182;7;2005;16;1373;1555;1555;2;2;430;192500
231;8760;6;1959;0;1194;1194;1194;1;1;312;148000
232;15138;8;1995;689;1462;1490;2794;2;3;810;403000
233;1680;6;1972;0;483;483;987;1;1;288;94500
234;10650;5;1976;182;894;894;894;1;1;308;128200
235;7851;6;2002;625;860;860;1960;2;2;440;216500
236;1680;6;1971;358;483;483;987;1;1;264;89500
237;8773;7;2004;24;1414;1414;1414;2;2;494;185500
238;9453;7;1993;402;996;1014;1744;2;2;457;194500
239;12030;8;2007;0;1694;1694;1694;2;3;818;318000
240;8741;6;1945;94;735;798;1487;1;1;220;113000
241;9000;8;2008;1078;1566;1566;1566;2;2;750;262500
242;3880;5;1945;329;686;866;866;1;0;0;110500
243;5000;5;1900;0;540;889;1440;1;1;352;79000
244;10762;6;1980;0;626;626;1217;1;1;288;120000
245;8880;7;1994;695;948;1222;2110;2;2;463;205000
246;10400;7;1988;929;1845;1872;1872;2;2;604;241500
247;9142;6;1910;0;1020;908;1928;2;1;440;137000
248;11310;6;1954;0;1367;1375;1375;1;2;451;140000
249;11317;7;2003;0;840;840;1668;2;2;500;180000
250;159000;6;1958;697;1444;1444;2144;2;2;389;277000
251;5350;3;1940;0;728;1306;1306;1;0;0;76500
252;4750;8;2006;1573;1573;1625;1625;2;2;538;235000
253;8366;6;2004;0;798;798;1640;2;2;520;173000
254;9350;6;1964;270;1302;1302;1302;2;1;309;158000
255;8400;5;1957;922;1314;1314;1314;1;1;294;145000
256;8738;7;1999;0;975;1005;2291;2;2;429;230000
257;8791;6;2003;503;864;864;1728;2;2;673;207500
258;8814;7;2006;1334;1604;1604;1604;2;2;660;220000
259;12435;7;2001;361;963;963;1792;2;2;564;231500
260;12702;5;1956;0;0;882;882;1;1;308;97000
261;19296;6;1962;672;1362;1382;1382;1;2;884;176000
262;9588;8;2007;0;1482;1482;2574;2;3;868;276000
263;8471;6;1977;506;506;1212;1212;1;2;492;151000
264;5500;5;1929;234;926;926;1316;1;2;484;130000
265;5232;5;1925;0;680;764;764;1;2;504;73000
266;12090;6;1981;588;1422;1422;1422;2;2;576;175500
267;11207;6;1997;714;802;802;1511;2;2;413;185000
268;8400;5;1939;378;720;1052;2192;2;1;240;179500
269;6900;5;1940;403;740;778;778;1;1;924;120500
270;7917;6;1976;751;1143;1113;1113;1;1;504;148000
271;10728;8;2006;0;1095;1095;1939;2;3;1053;266000
272;39104;7;1954;226;1385;1363;1363;1;2;439;241500
273;11764;8;1999;524;1152;1164;2270;2;3;671;290000
274;9600;6;1958;620;1240;1632;1632;2;1;338;139000
275;8314;5;1982;546;816;816;816;1;1;264;124500
276;7264;7;1925;0;952;952;1548;2;2;672;205000
277;9196;7;2003;0;1560;1560;1560;2;2;573;201000
278;19138;4;1951;120;864;864;864;1;2;400;141000
279;14450;9;2006;0;2121;2121;2121;2;3;732;415298
280;10005;7;1977;392;1160;1156;2022;2;2;505;192000
281;11287;7;1989;421;807;1175;1982;2;2;575;228500
282;7200;6;2006;905;1262;1262;1262;2;2;572;185000
283;5063;7;2007;904;1314;1314;1314;2;2;626;207500
284;9612;8;2008;0;1468;1468;1468;2;3;898;244600
285;8012;6;1992;430;1575;1575;1575;2;2;529;179200
286;4251;7;2006;0;625;625;1250;2;2;528;164700
287;9786;6;1962;600;912;1085;1734;1;2;440;159000
288;8125;4;1971;614;858;858;858;1;0;0;88000
289;9819;5;1967;450;882;900;900;1;1;280;122000
290;8730;6;1915;0;698;698;1396;1;1;384;153575
291;15611;8;2006;0;1079;1079;1919;2;2;685;233230
292;5687;5;1912;210;780;936;1716;2;0;0;135900
293;11409;5;1949;292;768;1148;1716;1;1;281;131000
294;16659;7;1977;795;795;1468;2263;2;2;539;235000
295;9600;6;1953;1285;1416;1644;1644;1;2;418;167000
296;7937;6;1984;819;1003;1003;1003;1;2;588;142500
297;13710;5;1950;420;910;910;1558;1;1;282;152000
298;7399;7;1997;649;975;975;1950;2;2;576;239000
299;11700;6;1968;384;702;1041;1743;1;2;539;175000
300;14000;6;1950;0;1092;1152;1152;1;1;300;158500
301;15750;5;1953;841;1165;1336;1336;1;1;375;157000
302;16226;8;1998;281;1028;1210;2452;2;2;683;267000
303;13704;7;2001;0;1541;1541;1541;2;3;843;205000
304;9800;5;1972;894;894;894;894;1;2;552;149900
305;18386;7;1880;0;1470;1675;3493;3;3;870;295000
306;10386;8;2004;1464;2000;2000;2000;2;3;888;305900
307;13474;7;1990;700;700;1122;2243;2;3;746;225000
308;7920;6;1920;0;319;1035;1406;1;0;0;89500
309;12342;4;1940;262;861;861;861;1;2;539;82500
310;12378;9;2003;1274;1896;1944;1944;2;3;708;360000
311;7685;6;1993;518;697;697;1501;2;2;420;165600
312;8000;6;1948;680;972;972;972;1;1;240;132000
313;7800;5;1939;507;793;793;1118;1;2;410;119900
314;215245;7;1965;1236;2136;2036;2036;2;2;513;375000
315;9600;7;1925;16;728;832;1641;1;2;546;178000
316;7795;7;2004;425;716;716;1432;2;2;432;188500
317;13005;7;1980;692;845;1153;2353;2;2;484;260000
318;9000;8;2006;0;1088;1088;1959;2;3;1025;270000
319;9900;7;1993;987;1347;1372;2646;2;3;656;260000
320;14115;7;1980;1036;1372;1472;1472;2;2;588;187500
321;16259;9;2006;0;1249;1249;2596;3;3;840;342643
322;12099;8;2004;970;1136;1136;2468;2;3;872;354000
323;10380;7;1986;28;1502;1553;2730;2;2;576;301000
324;5820;3;1955;256;1162;1163;1163;1;1;220;126175
325;11275;7;1967;0;710;1898;2978;2;2;564;242000
326;5000;5;1941;116;720;803;803;1;2;360;87000
327;10846;8;1993;1619;1719;1719;1719;1;2;473;324000
328;11600;6;1960;565;1383;1383;1383;1;1;292;145250
329;11888;6;1916;0;844;1445;2134;2;2;441;214500
330;6402;5;1920;0;596;596;1192;1;1;189;78000
331;10624;5;1964;40;1728;1728;1728;2;1;352;119000
332;8176;5;1958;846;1056;1056;1056;1;1;308;139000
333;10655;8;2003;1124;3206;1629;1629;2;3;880;284000
334;8198;7;2004;720;1358;1358;1358;2;2;484;207000
335;9042;6;1998;828;943;943;1638;2;2;472;192000
336;164660;5;1965;1249;1499;1619;1786;2;2;529;228950
337;14157;9;2005;1249;1922;1922;1922;2;3;676;377426
338;9135;7;2002;810;1536;1536;1536;2;2;532;214000
339;14145;7;1984;213;1208;1621;1621;2;2;440;202500
340;12400;6;1958;585;1215;1215;1215;1;1;297;155000
341;14191;8;2002;0;967;993;1908;2;2;431;202900
342;8400;4;1950;0;721;841;841;1;1;294;82000
343;8544;3;1949;0;0;1040;1040;2;2;400;87500
344;8849;9;2005;28;1684;1684;1684;2;2;564;266000
345;2592;5;1976;129;536;536;1112;1;1;336;85000
346;6435;6;1939;0;972;972;1577;1;1;312;140200
347;12772;6;1960;498;958;958;958;1;1;301;151500
348;17600;6;1960;1270;1478;1478;1478;2;2;498;157500
349;2448;7;2003;573;764;764;1626;2;2;474;154000
350;20431;9;2005;1410;1848;1848;2728;2;3;706;437154
351;7820;9;2007;0;1869;1869;1869;2;2;617;318061
352;5271;7;1986;1082;1453;1453;1453;1;2;445;190000
353;9084;5;1941;236;616;616;1111;1;1;200;95000
354;8520;6;1928;0;624;720;720;1;2;484;105900
355;8400;6;1940;388;940;1192;1595;1;1;240;140000
356;11249;6;1995;334;1200;1200;1200;2;2;521;177500
357;9248;6;1992;560;1158;1167;1167;2;2;400;173000
358;4224;5;1976;874;1142;1142;1142;1;2;528;134000
359;6930;5;1958;300;1062;1352;1352;1;1;288;130000
360;12011;8;1998;956;1086;1086;1924;2;2;592;280000
361;7540;6;1978;773;888;912;912;1;2;470;156000
362;9144;5;1940;399;883;988;1505;1;1;240;145000
363;7301;7;2003;0;0;495;1922;3;2;672;198500
364;1680;6;1972;162;483;483;987;1;1;264;118000
365;18800;6;1976;712;796;790;1574;2;2;566;190000
366;10690;5;1920;456;672;672;1344;1;1;468;147000
367;9500;6;1963;609;1394;1394;1394;1;2;514;159000
368;9150;6;1962;371;1099;1431;1431;1;1;296;165000
369;7800;5;1954;540;1268;1268;1268;1;1;244;132000
370;9830;5;1959;72;1063;1287;1287;1;2;576;162000
371;8121;6;2000;0;953;953;1664;2;2;460;172400
372;17120;4;1959;0;0;1120;1588;2;2;680;134432
373;7175;6;1984;623;744;752;752;1;1;264;125000
374;10634;5;1953;428;608;1319;1319;1;1;270;123000
375;8200;7;2003;0;847;847;1928;2;2;434;219500
376;10020;1;1922;350;683;904;904;0;0;0;61000
377;8846;5;1996;298;870;914;914;1;2;576;148000
378;11143;8;2004;0;1580;1580;2466;3;2;610;340000
379;11394;9;2010;1445;1856;1856;1856;1;3;834;394432
380;8123;6;2000;0;982;1007;1800;2;2;463;179000
381;5000;5;1924;218;1026;1026;1691;2;1;308;127000
382;7200;7;2006;0;1293;1301;1301;2;2;572;187750
383;9245;7;2006;0;939;939;1797;2;2;639;213500
384;9000;6;1928;0;784;784;784;1;2;360;76000
385;53107;6;1992;985;1580;1079;1953;2;2;501;240000
386;3182;8;2004;24;1256;1269;1269;2;2;430;192000
387;8410;5;1910;0;658;658;1184;1;0;0;81000
388;7200;6;1976;631;1041;1125;1125;1;1;352;125000
389;9382;7;1999;0;1468;1479;1479;2;2;577;191000
390;12474;10;2007;1280;1682;1742;2332;2;3;846;426000
391;8405;5;1900;241;861;961;1367;1;1;384;119000
392;12209;6;2001;690;804;804;1961;2;2;560;215000
393;8339;5;1959;0;0;882;882;1;1;294;106500
394;7446;4;1941;266;788;788;788;1;0;0;100000
395;10134;5;1940;0;735;735;1034;1;1;240;109000
396;9571;5;1956;739;1144;1144;1144;1;1;596;129000
397;7200;5;1972;777;894;894;894;1;2;600;123000
398;7590;5;1962;540;864;876;1812;2;1;264;169500
399;8967;5;1920;0;961;1077;1077;1;1;338;67000
400;8125;7;2006;812;1092;1112;1550;2;2;438;241000
401;14963;8;1996;786;1260;1288;1288;1;2;500;245500
402;8767;7;2005;24;1310;1310;1310;2;2;400;164990
403;10200;5;1940;0;672;672;672;1;1;240;108000
404;12090;8;1998;0;1141;1165;2263;2;2;420;258000
405;10364;6;1995;0;806;806;1572;2;2;373;168000
406;9991;4;1976;1116;1281;1620;1620;2;2;490;150000
407;10480;6;1936;0;1064;1166;1639;1;1;240;115000
408;15576;6;1915;0;840;840;1680;2;1;308;177000
409;14154;7;2006;0;1063;1071;2172;2;3;947;280000
410;10800;8;2007;789;1034;1050;2078;2;3;836;339750
411;9571;5;1958;0;1276;1276;1276;1;1;350;60000
412;34650;5;1955;1056;1056;1056;1056;1;2;572;145000
413;4403;7;2009;578;1470;1478;1478;2;2;484;222000
414;8960;5;1927;0;1008;1028;1028;1;2;360;115000
415;11228;7;1993;50;1080;1080;2097;2;3;678;228000
416;8899;7;2007;24;1340;1340;1340;2;2;396;181134
417;7844;6;1978;209;672;672;1400;1;2;440;149500
418;22420;6;1918;1128;1370;1370;2624;2;3;864;239000
419;8160;5;1940;312;756;756;1134;1;1;240;126000
420;8450;5;1968;775;1056;1056;1056;1;1;304;142000
421;7060;7;1997;1309;1344;1344;1344;2;4;784;206300
422;16635;6;1977;1246;1602;1602;1602;2;2;529;215000
423;21750;5;1954;0;988;988;988;1;2;520;113000
424;9200;8;1998;986;1470;1470;2630;2;3;696;315000
425;9000;6;1956;616;1196;1196;1196;1;1;297;139000
426;3378;7;1946;0;651;707;1389;1;1;240;135000
427;12800;7;1989;1518;1518;1644;1644;2;2;569;275000
428;8593;4;1957;288;907;907;907;1;1;352;109008
429;6762;7;2007;664;1208;1208;1208;2;2;628;195400
430;11457;6;1988;1005;1392;1412;1412;2;2;576;175000
431;1680;6;1971;387;483;483;987;1;1;264;85400
432;5586;6;1920;0;901;1088;1198;1;0;0;79900
433;1920;5;1971;471;765;765;1365;1;2;440;122500
434;10839;6;1997;0;926;926;1604;2;2;470;181000
435;1890;4;1972;495;630;630;630;1;0;0;81000
436;10667;7;1996;385;799;827;1661;2;2;550;212000
437;4400;6;1920;0;648;734;1118;1;2;440;116000
438;6000;6;1926;0;884;904;904;1;1;180;119000
439;4280;5;1913;365;440;694;694;1;1;352;90350
440;12354;6;1920;0;684;684;1196;1;2;528;110000
441;15431;10;2008;1767;3094;2402;2402;2;3;672;555000
442;12108;4;1955;133;1440;1440;1440;2;0;0;118000
443;6240;5;1930;0;1078;1128;1573;2;2;360;162900
444;3922;7;2006;0;1258;1258;1258;2;3;648;172500
445;8750;7;1994;642;915;933;1908;2;2;493;210000
446;9855;6;1956;0;1436;1689;1689;1;2;480;127500
447;16492;6;1966;247;1517;1888;1888;2;2;578;190000
448;11214;7;1998;0;930;956;1886;2;2;431;199900
449;8600;6;1937;0;780;780;1376;2;1;198;119500
450;6000;3;1948;331;649;679;1183;1;1;308;120000
451;5684;6;1930;0;813;813;813;1;1;270;110000
452;70761;7;1975;655;1533;1533;1533;2;2;576;280000
453;9303;6;1996;742;872;888;1756;2;2;422;204000
454;9000;8;2008;0;768;786;1590;2;2;676;210000
455;9297;5;1976;1606;1728;1728;1728;2;2;560;188000
456;9600;7;1973;916;1242;1242;1242;1;2;528;175500
457;4571;5;1916;0;624;624;1344;1;3;513;98000
458;53227;4;1954;1116;1364;1663;1663;1;2;529;256000
459;5100;8;1925;0;588;833;1666;1;1;228;161000
460;7015;5;1950;185;709;979;1203;1;1;352;110000
461;8004;8;2009;544;832;832;1935;2;2;552;263435
462;7200;7;1936;350;560;575;1135;1;2;576;155000
463;8281;5;1965;553;864;864;864;1;1;360;62383
464;11988;6;1934;326;715;849;1660;1;1;240;188700
465;8430;5;1978;616;1040;1040;1040;2;0;0;124000
466;3072;7;2004;0;1375;1414;1414;2;2;398;178740
467;10628;7;1970;778;1277;1277;1277;1;2;526;167000
468;9480;5;1942;386;728;888;1644;1;1;312;146500
469;11428;8;2006;0;1626;1634;1634;2;3;866;250000
470;9291;6;1993;426;832;832;1710;2;2;506;187000
471;6820;8;1985;368;1488;1502;1502;1;2;528;212000
472;11952;7;1977;0;808;1161;1969;2;2;534;190000
473;3675;6;2005;459;547;1072;1072;1;2;525;148000
474;14977;8;2006;1350;1976;1976;1976;2;3;908;440000
475;5330;8;2000;1196;1494;1652;1652;2;2;499;251000
